"","sample","legal","non-legal","X","clust","lon","lat","time","Period","CvI"
"1.32","170",2,5,32,"1",115.3698333,-33.54165,"T3","Before","Impact"
"1.58","378",2,0,58,"1",115.3912,-33.5555833,"T1","Before","Impact"
"1.63","42",1,0,63,"1",115.3862333,-33.5425167,"T2","Before","Impact"
"1.78","554",0,1,78,"1",115.3835167,-33.55765,"T1","Before","Impact"
"1.81","58",1,2,81,"1",115.3795833,-33.56965,"T1","Before","Impact"
"1.82","586",0,0,82,"1",115.38595,-33.5309167,"T3","Before","Impact"
"1.95","666",23,1,95,"1",115.35715,-33.5511167,"T2","Before","Impact"
"1.117","810",1,1,117,"1",115.3766,-33.5513333,"T2","Before","Impact"
"1.119","826",12,0,119,"1",115.4005833,-33.5426833,"T3","Before","Impact"
"4.3","106",0,1,3,"4",115.3451333,-33.57825,"T3","Before","Control"
"4.14","12RC5",5,2,14,"4",115.3443,-33.5621333,"T1","Before","Control"
"4.15","12RC6",4,2,15,"4",115.3481333,-33.5711,"T1","Before","Control"
"4.41","26",0,3,41,"4",115.3236167,-33.5500333,"T1","Before","Control"
"4.47","282",0,2,47,"4",115.3322333,-33.5571833,"T2","Before","Control"
"4.71","490",0,0,71,"4",115.3612,-33.5613,"T2","Before","Control"
"4.86","618",0,0,86,"4",115.3528167,-33.5678833,"T3","Before","Control"
"4.98","682",0,4,98,"4",115.3354167,-33.5696167,"T3","Before","Control"
"4.103","746",0,0,103,"4",115.3570667,-33.5794333,"T2","Before","Control"
"4.122","858",1,0,122,"4",115.3461833,-33.5573167,"T1","Before","Control"
"27.6","112",3,1,6,"27",115.5224,-33.4052,"T1","Before","Control"
"27.7","11R2",0,1,7,"27",115.5076167,-33.3967333,"T1","Before","Control"
"27.8","11R3",1,0,8,"27",115.5204667,-33.41215,"T2","Before","Control"
"27.29","16",0,1,29,"27",115.4986167,-33.3889,"T2","Before","Control"
"27.45","272",1,1,45,"27",115.4879333,-33.3815,"T2","Before","Control"
"27.51","316",0,5,51,"27",115.5281667,-33.3839667,"T1","Before","Control"
"27.67","448",0,1,67,"27",115.4930667,-33.3965,"T3","Before","Control"
"27.70","48",1,2,70,"27",115.5133833,-33.40275,"T2","Before","Control"
"27.84","60",2,2,84,"27",115.5049333,-33.3626167,"T3","Before","Control"
"27.96","672",0,0,96,"27",115.53565,-33.4004333,"T1","Before","Control"
"27.104","748",1,3,104,"27",115.5138333,-33.3695667,"T3","Before","Control"
"27.109","764",0,2,109,"27",115.49605,-33.3744333,"T3","Before","Control"
