"","sample","mass.30cm","X","clust","lon","lat","time","Period","CvI"
"2.11","12RC1",8510.91525439226,11,"2",115.2132833,-33.5932167,"T3","Before","Impact"
"2.27","15",11081.7044267736,27,"2",115.2147833,-33.5782333,"T2","Before","Impact"
"2.35","207",7665.20428252513,35,"2",115.23165,-33.5738333,"T1","Before","Impact"
"2.44","271",18233.3466544966,44,"2",115.2133167,-33.5937,"T3","Before","Impact"
"2.48","287",3344.48559282519,48,"2",115.2189,-33.5940333,"T2","Before","Impact"
"2.55","335",8162.84966195406,55,"2",115.2266667,-33.5771167,"T1","Before","Impact"
"2.57","375",0,57,"2",115.2205667,-33.5902167,"T2","Before","Impact"
"2.66","443",18720.9241495356,66,"2",115.2024833,-33.5698,"T1","Before","Impact"
"2.75","527",49016.3614522865,75,"2",115.2078167,-33.5894167,"T2","Before","Impact"
"2.102","719",2858.71460097642,102,"2",115.23245,-33.6009667,"T3","Before","Impact"
"2.110","779",0,110,"2",115.2263667,-33.5817167,"T2","Before","Impact"
"2.113","783",10166.3458101868,113,"2",115.2263667,-33.5817167,"T1","Before","Impact"
"2.114","79",1158.85612048181,114,"2",115.2308833,-33.5874,"T1","Before","Impact"
"2.125","91",6856.63664748945,125,"2",115.2060833,-33.5396,"T3","Before","Impact"
"2.127","GBR-BOB",4441.37718465436,127,"2",115.2205667,-33.59235,"T2","Before","Impact"
"2.129","GBR1-3",2992.37882682693,129,"2",115.2022833,-33.5937833,"T3","Before","Impact"
"2.130","GBR1-4",3082.46613296812,130,"2",115.2055167,-33.59345,"T1","Before","Impact"
"2.131","GBR4-1",14853.4622537546,131,"2",115.2080833,-33.5933333,"T3","Before","Impact"
"2.132","GBR4-2",4276.14039735625,132,"2",115.2102333,-33.5928333,"T3","Before","Impact"
"2.133","GBR5-1",55335.3427766166,133,"2",115.2119333,-33.5932167,"T1","Before","Impact"
"2.134","GBR5-2",3672.37374176667,134,"2",115.2148,-33.5927333,"T1","Before","Impact"
"2.135","GBR5-3",8652.90978157613,135,"2",115.2175167,-33.5924167,"T2","Before","Impact"
"4.3","106",7800.87806043486,3,"4",115.3451333,-33.57825,"T1","Before","Control"
"4.14","12RC5",14494.8454214037,14,"4",115.3443,-33.5621333,"T2","Before","Control"
"4.15","12RC6",17917.6372673659,15,"4",115.3481333,-33.5711,"T3","Before","Control"
"4.41","26",5660.82340148148,41,"4",115.3236167,-33.5500333,"T1","Before","Control"
"4.47","282",686.376075346533,47,"4",115.3322333,-33.5571833,"T2","Before","Control"
"4.71","490",4733.0162239433,71,"4",115.3612,-33.5613,"T1","Before","Control"
"4.86","618",0,86,"4",115.3528167,-33.5678833,"T3","Before","Control"
"4.98","682",5456.84363850614,98,"4",115.3354167,-33.5696167,"T2","Before","Control"
"4.103","746",0,103,"4",115.3570667,-33.5794333,"T1","Before","Control"
"4.122","858",20788.303303682,122,"4",115.3461833,-33.5573167,"T3","Before","Control"
"5.4","107",23202.5672486995,4,"5",115.1881167,-33.5833333,"T1","Before","Control"
"5.36","22",11008.5165478798,36,"5",115.1806667,-33.57455,"T3","Before","Control"
"5.42","27",16278.3600989765,42,"5",115.1883833,-33.5463667,"T1","Before","Control"
"5.68","455",9281.96794606086,68,"5",115.1820333,-33.5671333,"T2","Before","Control"
"5.74","523",783.909325751321,74,"5",115.1589167,-33.5634333,"T2","Before","Control"
"5.80","570",14837.5363932411,80,"5",115.1625333,-33.5731333,"T1","Before","Control"
"5.91","635",9087.96363669611,91,"5",115.1995667,-33.5809667,"T1","Before","Control"
"5.99","684",9828.01509841358,99,"5",115.1735,-33.5845333,"T3","Before","Control"
"5.116","800",20426.0612851152,116,"5",115.1934833,-33.5731667,"T2","Before","Control"
"5.123","86",12282.9981626421,123,"5",115.1785167,-33.5405167,"T2","Before","Control"
"5.128","GBR1-2",9677.79262066055,128,"5",115.1995333,-33.5936,"T3","Before","Control"
"25.1","103",13590.8287132703,1,"25",115.4547167,-33.4581167,"T1","Before","Control"
"25.28","151",8620.40812962753,28,"25",115.4328833,-33.4768,"T1","Before","Control"
"25.31","167",3051.29252032341,31,"25",115.4805667,-33.4627333,"T1","Before","Control"
"25.49","288",57957.2683897137,49,"25",115.4775833,-33.4709833,"T2","Before","Control"
"25.56","352",6392.65510759613,56,"25",115.4879833,-33.4517667,"T2","Before","Control"
"25.60","39",6377.68735058712,60,"25",115.43285,-33.465,"T3","Before","Control"
"25.85","608",5861.64831425068,85,"25",115.4702833,-33.4551833,"T3","Before","Control"
"25.89","633",20370.1262421371,89,"25",115.4535,-33.4711667,"T1","Before","Control"
"25.97","679",0,97,"25",115.4152667,-33.4721333,"T3","Before","Control"
"25.126","96",1168.10806281601,126,"25",115.4808167,-33.4489,"T2","Before","Control"
